devicename,platform
Xiaohei,ANDROID
Liquid Z330,ANDROID
Vibe X3,ANDROID
Galaxy J3 2016 Duos,ANDROID
Galaxy Tab 7,ANDROID
K6,ANDROID
iPhone X,IOS
T02A,ANDROID
Tapioca,ANDROID
Pixel XL,ANDROID
Yoga Tablet 2,ANDROID
Vibe Shot,ANDROID
Iron,ANDROID
S8-701w,ANDROID
Ascend G630,ANDROID
Y55L,ANDROID
A358t,ANDROID
Bolt,ANDROID
DTEK50,ANDROID
X5,ANDROID
Xperia C,ANDROID
K8,ANDROID
Class,ANDROID
R5,ANDROID
Honor 6X Premium Edition,ANDROID
One Touch Pop D1,ANDROID
Sensation,ANDROID
Galaxy Grand Prime,ANDROID
Galaxy J5 (2016),ANDROID
U11,ANDROID
M6,ANDROID
Le S3,ANDROID
Xperia E,ANDROID
Xplay 3S,ANDROID
Redmi Note,ANDROID
iPhone 6S Plus,IOS
MediaPad T1 8.0,ANDROID
Galaxy Ace Plus,ANDROID
A7-30,ANDROID
Core Plus,ANDROID
PadFone Mini,ANDROID
Galaxy J1 Ace,ANDROID
BV6000,ANDROID
Galaxy S4 LTE,ANDROID
Galaxy Star 2,ANDROID
Jazz J3,ANDROID
Redmi 4,ANDROID
Galaxy Tab 3 V,ANDROID
Le 1S,ANDROID
Honor 4C,ANDROID
One,ANDROID
T5,ANDROID
Pro 7,ANDROID
Elite 3,ANDROID
X20 Plus,ANDROID
Xperia Z5 Premium,ANDROID
Nubia M2 Lite,ANDROID
Moto X,ANDROID
Galaxy Tab Pro 8.4,ANDROID
Galaxy Mega,ANDROID
G100W,ANDROID
Redmi 4X,ANDROID
X5 Max Pro,ANDROID
Onetouch Flash 2,ANDROID
F2,ANDROID
Galaxy Tab A 7.0,ANDROID
Honor 8 Pro,ANDROID
Redmi Note 3,ANDROID
Galaxy C5,ANDROID
Tab S8,ANDROID
Galaxy Nexus,ANDROID
Galaxy Note,ANDROID
Xperia Z3+,ANDROID
Moto E3 Power,ANDROID
Xperia T2 Ultra,ANDROID
Desire 7060,ANDROID
Galaxy Tab 4 8.0 LTE,ANDROID
P2,ANDROID
Xperia XZ Premium Dual,ANDROID
Ascend Y330,ANDROID
Pioneer P3S,ANDROID
C9,ANDROID
Moto Z Play,ANDROID
Zenfone Max,ANDROID
Xperia Z4 Tablet,ANDROID
L4,ANDROID
Zumbo S2,ANDROID
Blade 3,ANDROID
Galaxy Note 3 Neo Dual SIM,ANDROID
A6010,ANDROID
Desire 828,ANDROID
Galaxy S7 Edge Clone,ANDROID
MM781,ANDROID
S3,ANDROID
Joy,ANDROID
DuraForce,ANDROID
Meitu 2,ANDROID
Informer 706 3G,ANDROID
Ascend Y511,ANDROID
K3,ANDROID
Vandroid O1A,ANDROID
Moto M,ANDROID
Phab Plus,ANDROID
One Touch Idol 2,ANDROID
Aqua Style VX,ANDROID
Desire 526G Plus,ANDROID
Homtom HT5,ANDROID
U11 Plus,ANDROID
iPod Touch,IOS
Iconia Tab 7,ANDROID
Xperia C5 Ultra Dual,ANDROID
ZenFone 5,ANDROID
Mi 3,ANDROID
DTEK60,ANDROID
Y28,ANDROID
U11+,ANDROID
C5,ANDROID
Galaxy S4 Zoom,ANDROID
Mi Mix,ANDROID
Galaxy Beam,ANDROID
TAB 7,ANDROID
ZenFone 5 Lite,ANDROID
Phab 2 Plus,ANDROID
Galaxy On7 (2016),ANDROID
A3 XL,ANDROID
Liquid Z530,ANDROID
Heat 8,ANDROID
Zuk Z1,ANDROID
S60-w,ANDROID
Galaxy S Duos 2,ANDROID
RocStar A319,ANDROID
Redmi Note 4X,ANDROID
MX6,ANDROID
Tab 2 A8,ANDROID
Galaxy Tab S2 (2016 9.7) 4G+,ANDROID
iPhone 7 Plus,IOS
Liquid Z630,ANDROID
Droid Turbo,ANDROID
Honor Holly,ANDROID
Xperia M4 Aqua Dual,ANDROID
A916,ANDROID
Ascend Mate 7,ANDROID
Ascend G700,ANDROID
ZenFone 4 Max,ANDROID
Galaxy S5 Neo,ANDROID
Honor 6A,ANDROID
Zenfone Go,ANDROID
Desire 826 Dual SIM,ANDROID
Soshphone,ANDROID
Galaxy J7 Pro,ANDROID
Blackview JK450,ANDROID
Xperia X Performance,ANDROID
Comet,ANDROID
U20 Plus,ANDROID
Moto Z,ANDROID
Alife P1 Pro,ANDROID
Blue Charm Note 2,ANDROID
Fonepad Note 6,ANDROID
X30,ANDROID
Xperia L1,ANDROID
Galaxy J3 Duos,ANDROID
R7,ANDROID
Ascend Y360,ANDROID
P8 Lite 2017,ANDROID
Galaxy S4 Mini Duos,ANDROID
